2025-04-03T21:38:17.287+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T21:37:15.310530+00:00 [queued]>
2025-04-03T21:38:17.298+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T21:37:15.310530+00:00 [queued]>
2025-04-03T21:38:17.298+0000 [INFO] Starting attempt 1 of 4
2025-04-03T21:38:17.310+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-03 21:37:15.310530+00:00
2025-04-03T21:38:17.317+0000 [INFO] Started process 1483 to run task
2025-04-03T21:38:17.323+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'scheduled__2025-04-03T21:37:15.310530+00:00', '--job-id', '480', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmpzd76z89w']
2025-04-03T21:38:17.326+0000 [INFO] Job 480: Subtask processing.extract
2025-04-03T21:38:18.377+0000 [WARNING] Skipping malformed line 147: Found 18 fields (expected 14)
2025-04-03T21:38:18.377+0000 [WARNING] Skipping malformed line 148: Found 18 fields (expected 14)
2025-04-03T21:38:18.377+0000 [WARNING] Skipping malformed line 149: Found 18 fields (expected 14)
2025-04-03T21:38:18.378+0000 [WARNING] Skipping malformed line 150: Found 18 fields (expected 14)
2025-04-03T21:38:18.378+0000 [WARNING] Skipping malformed line 151: Found 18 fields (expected 14)
2025-04-03T21:38:18.378+0000 [WARNING] Skipping malformed line 152: Found 18 fields (expected 14)
2025-04-03T21:38:18.379+0000 [WARNING] Skipping malformed line 153: Found 18 fields (expected 14)
2025-04-03T21:38:18.379+0000 [WARNING] Skipping malformed line 154: Found 18 fields (expected 14)
2025-04-03T21:38:18.379+0000 [WARNING] Skipping malformed line 155: Found 18 fields (expected 14)
2025-04-03T21:38:18.379+0000 [WARNING] Skipping malformed line 156: Found 18 fields (expected 14)
2025-04-03T21:38:18.379+0000 [WARNING] Skipping malformed line 157: Found 18 fields (expected 14)
2025-04-03T21:38:18.379+0000 [WARNING] Skipping malformed line 158: Found 18 fields (expected 14)
2025-04-03T21:38:18.380+0000 [WARNING] Skipping malformed line 159: Found 18 fields (expected 14)
2025-04-03T21:38:18.380+0000 [WARNING] Skipping malformed line 160: Found 18 fields (expected 14)
2025-04-03T21:38:18.380+0000 [WARNING] Skipping malformed line 161: Found 18 fields (expected 14)
2025-04-03T21:38:18.380+0000 [WARNING] Skipping malformed line 162: Found 18 fields (expected 14)
2025-04-03T21:38:18.380+0000 [WARNING] Skipping malformed line 163: Found 18 fields (expected 14)
2025-04-03T21:38:18.380+0000 [WARNING] Skipping malformed line 164: Found 18 fields (expected 14)
2025-04-03T21:38:18.380+0000 [WARNING] Skipping malformed line 165: Found 18 fields (expected 14)
2025-04-03T21:38:18.381+0000 [WARNING] Skipping malformed line 166: Found 18 fields (expected 14)
2025-04-03T21:38:18.381+0000 [WARNING] Skipping malformed line 167: Found 18 fields (expected 14)
2025-04-03T21:38:18.381+0000 [WARNING] Skipping malformed line 168: Found 18 fields (expected 14)
2025-04-03T21:38:18.382+0000 [WARNING] Skipping malformed line 169: Found 18 fields (expected 14)
2025-04-03T21:38:18.383+0000 [WARNING] Skipping malformed line 170: Found 18 fields (expected 14)
2025-04-03T21:38:18.383+0000 [WARNING] Skipping malformed line 171: Found 18 fields (expected 14)
2025-04-03T21:38:18.383+0000 [WARNING] Skipping malformed line 172: Found 18 fields (expected 14)
2025-04-03T21:38:18.383+0000 [WARNING] Skipping malformed line 173: Found 18 fields (expected 14)
2025-04-03T21:38:18.383+0000 [WARNING] Skipping malformed line 174: Found 18 fields (expected 14)
2025-04-03T21:38:18.384+0000 [WARNING] Skipping malformed line 175: Found 18 fields (expected 14)
2025-04-03T21:38:18.385+0000 [WARNING] Skipping malformed line 176: Found 18 fields (expected 14)
2025-04-03T21:38:18.385+0000 [WARNING] Skipping malformed line 177: Found 18 fields (expected 14)
2025-04-03T21:38:18.386+0000 [WARNING] Skipping malformed line 178: Found 18 fields (expected 14)
2025-04-03T21:38:18.386+0000 [WARNING] Skipping malformed line 179: Found 18 fields (expected 14)
2025-04-03T21:38:18.386+0000 [WARNING] Skipping malformed line 180: Found 18 fields (expected 14)
2025-04-03T21:38:18.387+0000 [WARNING] Skipping malformed line 181: Found 18 fields (expected 14)
2025-04-03T21:38:18.387+0000 [WARNING] Skipping malformed line 182: Found 18 fields (expected 14)
2025-04-03T21:38:18.387+0000 [WARNING] Skipping malformed line 183: Found 18 fields (expected 14)
2025-04-03T21:38:18.388+0000 [WARNING] Skipping malformed line 184: Found 18 fields (expected 14)
2025-04-03T21:38:18.389+0000 [WARNING] Skipping malformed line 185: Found 18 fields (expected 14)
